config,workload,ramulator.normalized_ipc,nrh
CoMeT1000,wc_map0,0.9994647066676609,1000
Graphene1000,wc_map0,0.9996218316848607,1000
Graphene500,wc_map0,0.9933426786799249,500
Graphene250,wc_map0,0.9878117562217094,250
Graphene125,wc_map0,0.9716375738821088,125
Hydra1000,wc_map0,0.9912705440942431,1000
Hydra500,wc_map0,0.979767197984105,500
Hydra250,wc_map0,0.9766154363809659,250
Hydra125,wc_map0,0.9669803504210344,125
REGA1000,wc_map0,1.0,1000
REGA500,wc_map0,0.9989236783341816,500
REGA250,wc_map0,0.9864107834898381,250
REGA125,wc_map0,0.9397511280108604,125
PARA1000,wc_map0,0.9534263049381436,1000
PARA500,wc_map0,0.9065808115321722,500
PARA250,wc_map0,0.8163095841085442,250
PARA125,wc_map0,0.6262508285339412,125
Baseline0,434.zeusmp,1.0,0
CoMeT125,434.zeusmp,0.9282292192033417,125
CoMeT250,434.zeusmp,0.967109475198503,250
CoMeT500,434.zeusmp,0.9940082631482885,500
CoMeT1000,434.zeusmp,0.9998525327213015,1000
Graphene1000,434.zeusmp,1.0,1000
Graphene500,434.zeusmp,0.9995628735044882,500
Graphene250,434.zeusmp,0.9823713603049643,250
Graphene125,434.zeusmp,0.9560172874959011,125
Hydra1000,434.zeusmp,0.985621963259983,1000
Hydra500,434.zeusmp,0.9616606559067787,500
Hydra250,434.zeusmp,0.9387013345999796,250
Hydra125,434.zeusmp,0.9215260906848729,125
REGA1000,434.zeusmp,1.0,1000
REGA500,434.zeusmp,0.9732926511864347,500
REGA250,434.zeusmp,0.8573072212868244,250
REGA125,434.zeusmp,0.6619718766857141,125
PARA1000,434.zeusmp,0.9237754104084728,1000
PARA500,434.zeusmp,0.8498314791681991,500
PARA250,434.zeusmp,0.7121116675955861,250
PARA125,434.zeusmp,0.47113399563905767,125
Baseline0,505.mcf,1.0,0
CoMeT125,505.mcf,0.9914183997269177,125
CoMeT250,505.mcf,0.9965668718827166,250
CoMeT500,505.mcf,0.9990965301403207,500
CoMeT1000,505.mcf,1.0,1000
Graphene1000,505.mcf,0.9999822172289529,1000
Graphene500,505.mcf,0.9988351445706458,500
Graphene250,505.mcf,0.9970310173590202,250
Graphene125,505.mcf,0.9931172602201532,125
Hydra1000,505.mcf,0.998106680622231,1000
Hydra500,505.mcf,0.9960040419517179,500
Hydra250,505.mcf,0.994118474704382,250
Hydra125,505.mcf,0.9902235359758844,125
REGA1000,505.mcf,1.0,1000
REGA500,505.mcf,0.9869193331003037,500
REGA250,505.mcf,0.9459418622966713,250
REGA125,505.mcf,0.8452125640646072,125
PARA1000,505.mcf,0.9764532865512853,1000
PARA500,505.mcf,0.952806752161975,500
PARA250,505.mcf,0.9006008307346616,250
PARA125,505.mcf,0.7744434231106422,125
Baseline0,525.x264,1.0,0
CoMeT125,525.x264,1.0,125
CoMeT250,525.x264,1.0,250
CoMeT500,525.x264,1.0,500
CoMeT1000,525.x264,1.0,1000
Graphene1000,525.x264,1.0,1000
Graphene500,525.x264,1.0,500
Graphene250,525.x264,1.0,250
Graphene125,525.x264,1.0,125
Hydra1000,525.x264,1.0,1000
Hydra500,525.x264,1.0,500
Hydra250,525.x264,1.0,250
Hydra125,525.x264,1.0,125
REGA1000,525.x264,1.0,1000
REGA500,525.x264,0.9993965531143345,500
REGA250,525.x264,0.9985250698941033,250
REGA125,525.x264,0.9952758372250973,125
PARA1000,525.x264,0.999065408917046,1000
PARA500,525.x264,0.9979972767463964,500
PARA250,525.x264,0.996543847828858,250
PARA125,525.x264,0.9907349377542353,125
Baseline0,jp2_decode,1.0,0
CoMeT125,jp2_decode,0.9710240734848703,125
CoMeT250,jp2_decode,0.9853102764584466,250
CoMeT500,jp2_decode,0.994259029800623,500
CoMeT1000,jp2_decode,0.997252103395951,1000
Graphene1000,jp2_decode,0.998106118036491,1000
Graphene500,jp2_decode,0.9955423237892465,500
Graphene250,jp2_decode,0.9896009622157953,250
Graphene125,jp2_decode,0.9787123197265435,125
Hydra1000,jp2_decode,0.9944222626813757,1000
Hydra500,jp2_decode,0.9924288328861643,500
Hydra250,jp2_decode,0.9866496490542228,250
Hydra125,jp2_decode,0.9770654692725095,125
REGA1000,jp2_decode,1.0,1000
REGA500,jp2_decode,0.9911529515550268,500
REGA250,jp2_decode,0.9567450349677915,250
REGA125,jp2_decode,0.8786296531617337,125
PARA1000,jp2_decode,0.9632918470673011,1000
PARA500,jp2_decode,0.927219423947192,500
PARA250,jp2_decode,0.8510078179953311,250
PARA125,jp2_decode,0.6784620005080854,125
Baseline0,481.wrf,1.0,0
CoMeT125,481.wrf,1.0,125
CoMeT250,481.wrf,1.0,250
CoMeT500,481.wrf,1.0,500
CoMeT1000,481.wrf,1.0,1000
Graphene1000,481.wrf,1.0,1000
Graphene500,481.wrf,1.0,500
Graphene250,481.wrf,1.0,250
Graphene125,481.wrf,1.0,125
Hydra1000,481.wrf,1.0,1000
Hydra500,481.wrf,1.0,500
Hydra250,481.wrf,1.0,250
Hydra125,481.wrf,1.0,125
REGA1000,481.wrf,1.0,1000
REGA500,481.wrf,1.0000013859365964,500
REGA250,481.wrf,1.000022373446038,250
REGA125,481.wrf,1.000024551445584,125
PARA1000,481.wrf,0.999914079433089,1000
PARA500,481.wrf,0.9998726092356502,500
PARA250,481.wrf,0.9997348618171841,250
PARA125,481.wrf,0.9992521549659156,125
Baseline0,bfs_cm2003,1.0,0
CoMeT125,bfs_cm2003,0.8129683732250439,125
CoMeT250,bfs_cm2003,0.872019998432527,250
CoMeT500,bfs_cm2003,0.9149917336850095,500
CoMeT1000,bfs_cm2003,0.9916102970452401,1000
Graphene1000,bfs_cm2003,1.0,1000
Graphene500,bfs_cm2003,0.9760489937511435,500
Graphene250,bfs_cm2003,0.9521850532132139,250
Graphene125,bfs_cm2003,0.8883654397078754,125
Hydra1000,bfs_cm2003,0.9181028381023929,1000
Hydra500,bfs_cm2003,0.8984808021413255,500
Hydra250,bfs_cm2003,0.8845947886814374,250
Hydra125,bfs_cm2003,0.8455964225100258,125
REGA1000,bfs_cm2003,1.0,1000
